race_id,horse_number,horse_name,win_prob,win_odds,expected_value,finish_position,bet_amount,payout
202408020304,12,ミレフォス,0.06,56.6,3.396,13,100,0.0
202408020304,5,メイショウトレック,0.06,145.7,8.741999999999999,14,100,0.0
202408020304,10,キタノアベル,0.06,74.4,4.464,15,100,0.0
202408020305,8,モアニ,0.08,17.6,1.4080000000000001,1,100,1760.0000000000002
202408020305,13,ペルフェツィオーネ,0.06,256.0,15.36,2,100,0.0
202408020305,12,ホットサマーナイト,0.09,12.7,1.1429999999999998,3,100,0.0
202408020305,9,ヤブサメ,0.05,36.1,1.8050000000000002,4,100,0.0
202408020305,3,グロリアスグレイス,0.06,210.6,12.636,6,100,0.0
202408020305,1,ルージュラメンテ,0.11,15.8,1.738,9,100,0.0
202408020305,10,ピナクルポイント,0.07,88.2,6.174,10,100,0.0
202408020305,7,マンチェスター,0.03,154.8,4.644,11,100,0.0
202408020305,14,サウンドトリオンフ,0.07,86.4,6.048000000000001,12,100,0.0
202408020305,5,ルボートン,0.12,60.1,7.212,13,100,0.0
202408020305,11,ヴェルヴ,0.05,313.9,15.695,16,100,0.0
202408020306,5,ドルチアーリア,0.16,23.3,3.728,5,100,0.0
202408020306,2,クロダブシ,0.07,34.2,2.3940000000000006,6,100,0.0
202408020306,7,モアリジット,0.11,80.1,8.811,8,100,0.0
202408020306,4,コパノアントニオ,0.05,67.5,3.375,9,100,0.0
202408020307,2,タガノトラリア,0.09,73.6,6.624,4,100,0.0
202408020307,5,マテンロウボンド,0.12,23.0,2.76,7,100,0.0
202408020307,6,カズキ,0.07,23.3,1.6310000000000002,8,100,0.0
202408020307,4,サトノマジェスタ,0.13,63.7,8.281,9,100,0.0
202408020307,7,ユメハハテシナク,0.13,14.7,1.911,10,100,0.0
202408020307,10,ホヲユイットウ,0.13,554.1,72.033,11,100,0.0
202408020308,11,アルムファーツリー,0.11,139.3,15.323000000000002,4,100,0.0
