feature,importance,year,roi
heavy_track_fit,0.0,2018,78.65373480023162
prev_finish_category,1420.7300109863281,2018,78.65373480023162
distance_change,357.90899658203125,2018,78.65373480023162
distance_extend_flag,0.0,2018,78.65373480023162
surface_switch_flag,322.9519958496094,2018,78.65373480023162
basis_weight_light_flag,0.0,2018,78.65373480023162
horse_position_improvement_avg,0.0,2018,78.65373480023162
horse_front_runner_rate,0.0,2018,78.65373480023162
venue_expected_pace,0.0,2018,78.65373480023162
pace_style_match_score,0.0,2018,78.65373480023162
race_front_runner_count,0.0,2018,78.65373480023162
horse_c4_gap_avg,0.0,2018,78.65373480023162
post_style_conflict,0.0,2018,78.65373480023162
front_runner_competition,0.0,2018,78.65373480023162
course_corner_count,0.0,2018,78.65373480023162
course_start_to_corner_m,0.0,2018,78.65373480023162
course_final_straight_m,0.0,2018,78.65373480023162
course_slope_percent,0.0,2018,78.65373480023162
course_is_outer,0.0,2018,78.65373480023162
course_turn_direction,0.0,2018,78.65373480023162
straight_ratio,0.0,2018,78.65373480023162
is_long_straight,0.0,2018,78.65373480023162
style_straight_match,0.0,2018,78.65373480023162
front_slope_disadvantage,0.0,2018,78.65373480023162
closer_long_straight_advantage,0.0,2018,78.65373480023162
